GeneID	controlL_rep2	PE60L_rep2	PE60L_rep1	PE200L_rep2	PE600L_rep2	PE600L_rep3	PE60L_rep3	PE200L_rep3	controlL_rep3	PE200L_rep1	PE600L_rep1	controlL_rep1
CQUJHB011681	119	86	192	96	142	111	96	93	65	288	262	390
CQUJHB000477	32	27	72	20	34	20	29	17	49	91	95	95
CQUJHB015878	9	9	33	13	15	12	14	23	0	34	64	82
CQUJHB002960	65	31	77	35	21	31	51	35	58	80	70	93
CQUJHB013233	104	72	49	107	36	84	84	28	26	32	62	95
CQUJHB016660	4359	2807	3642	5155	2112	2276	2000	3036	918	4369	4040	4066
CQUJHB018186	1	0	4	2	0	1	4	1	0	9	7	0
CQUJHB003182	37	0	32	0	1	8	0	3	0	23	14	46
CQUJHB009140	0	0	2	0	0	0	3	0	0	1	1	0
CQUJHB009713	163	111	217	64	120	105	168	87	83	189	122	182
CQUJHB007905	1	0	1	0	0	0	0	0	0	2	3	0
CQUJHB003278	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000244	1065	2203	635	2658	586	3681	1397	2194	227	506	229	893
CQUJHB010683	2	31	3	225	2	19	5	15	7	2	8	24
CQUJHB002262	28	506	37	1330	95	165	145	290	95	9	48	100
CQUJHB009396	0	3	18	5	0	1	4	5	0	39	39	21
CQUJHB010633	155	119	323	80	140	24	63	74	361	398	265	498
CQUJHB009868	7	6	1	1	32	4	9	9	0	0	0	0
CQUJHB013428	17	12	60	66	32	0	3	1	0	1830	402	10
CQUJHB011377	0	0	1	0	0	0	0	0	0	0	0	0
CQUJHB002299	3	304	118	1520	32	80	79	219	23	1	105	549
CQUJHB003432	0	0	0	0	0	1	3	0	0	0	17	4
CQUJHB000349	875	2107	322	3455	843	1401	905	2103	381	31	215	1313
CQUJHB015908	14	1	42	11	12	9	6	5	17	17	19	20
CQUJHB014526	5	1	6	2	3	1	6	1	0	6	1	4
CQUJHB011665	3	11	5	102	12	1	0	30	3	5	0	11
CQUJHB009780	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006192	603	366	805	529	249	568	451	354	202	1035	745	616
CQUJHB004300	0	0	1	0	0	1	0	0	0	1	0	0
CQUJHB016297	41	6	5	2	11	1	0	7	12	147	476	15
CQUJHB009149	191	194	239	291	217	170	160	258	178	217	658	400
CQUJHB004833	51	36	59	33	59	59	66	24	29	81	103	51
CQUJHB014487	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007819	775	351	848	642	364	1181	714	599	187	638	590	763
CQUJHB007827	710	157	786	228	244	217	421	98	393	1102	762	693
CQUJHB001321	449	613	290	654	381	428	209	147	269	309	305	388
CQUJHB010606	47	0	30	0	0	0	0	1	1	59	0	6
CQUJHB009939	56	0	43	0	1	11	0	1	0	38	0	1
CQUJHB007470	8	0	42	1	2	5	0	4	26	12	9	17
CQUJHB010664	20	23	17	0	2	7	117	3	0	73	17	11
CQUJHB013343	63	22	89	61	35	22	28	37	32	81	67	84
CQUJHB012272	114	22	60	32	29	27	27	30	28	94	91	113
CQUJHB006543	24	1	26	2	5	1	3	0	0	29	3	24
