GeneID	controlL_rep2	PE60L_rep2	PE60L_rep1	PE200L_rep2	PE600L_rep2	PE600L_rep3	PE60L_rep3	PE200L_rep3	controlL_rep3	PE200L_rep1	PE600L_rep1	controlL_rep1
CQUJHB012296	23	28	23	8	5	18	171	11	8	75	31	4
CQUJHB011260	25	29	33	43	21	37	25	10	28	51	25	16
CQUJHB014409	512	335	882	171	521	218	713	187	721	1310	922	618
CQUJHB000339	0	0	0	0	1	0	0	0	0	0	0	0
CQUJHB003948	370	56	520	66	130	70	53	86	182	773	317	226
CQUJHB014153	1141	120	969	129	290	242	113	208	243	1881	999	471
CQUJHB005118	7	1	8	4	3	10	1	5	0	12	7	17
CQUJHB002082	249	61	375	87	78	106	120	65	109	379	303	394
CQUJHB008747	82	44	94	37	40	29	34	61	0	145	84	148
CQUJHB009051	172	44	191	61	75	40	53	63	55	247	158	169
CQUJHB006741	327	162	448	171	191	155	214	155	155	502	393	404
CQUJHB002946	30	40	19	27	41	42	32	28	11	67	36	53
CQUJHB014711	1	0	2	0	1	1	6	1	0	8	3	0
CQUJHB013831	142	17	82	9	30	25	15	22	8	119	174	181
CQUJHB005898	2	0	2	0	0	0	0	1	0	4	0	0
CQUJHB000021	173	27	189	92	56	55	41	72	31	184	150	219
CQUJHB009614	57	19	77	27	33	13	21	19	6	91	48	142
CQUJHB013579	105	25	132	32	60	37	57	44	25	142	88	147
CQUJHB009788	887	203	973	288	199	660	360	235	243	1315	568	719
CQUJHB006430	193	732	607	2255	217	1682	1307	211	238	0	283	1194
CQUJHB000078	373	786	510	1340	206	2588	714	601	192	62	131	920
CQUJHB009699	2254	423	5476	227	407	351	1101	554	270	3069	1465	4390
CQUJHB017371	90	89	110	62	80	28	47	67	84	108	124	184
CQUJHB008307	172	84	316	67	136	74	120	86	60	402	240	210
CQUJHB009712	178	446	116	84	125	68	96	311	142	83	274	468
CQUJHB011855	35	29	25	31	9	14	29	12	3	29	15	39
CQUJHB002729	773	661	501	488	429	585	357	806	271	701	424	802
CQUJHB001345	45	1	18	0	0	1	25	1	0	31	9	22
CQUJHB006161	0	0	0	0	1	1	3	0	0	1	0	1
CQUJHB012332	1	1	3	0	0	0	2	1	0	4	2	2
CQUJHB016750	14089	1267	4410	1467	2797	887	2026	2497	1653	5273	4866	8475
CQUJHB001897	6237	14401	4568	21785	6916	14572	4406	11541	2037	3046	1171	5550
CQUJHB007445	223	2816	205	7109	562	728	177	1278	172	25	230	789
CQUJHB014429	419	2173	332	108	154	170	762	2559	427	18	70	1381
CQUJHB017646	341	1911	906	1616	560	814	212	961	228	107	167	1258
CQUJHB015535	112	70	213	88	61	26	33	79	37	174	66	161
CQUJHB002696	76	36	43	34	21	28	30	31	41	90	52	111
CQUJHB000879	42	68	80	99	35	40	15	16	14	95	64	64
CQUJHB016613	96	56	133	195	56	86	39	29	29	205	83	136
CQUJHB002741	125	83	153	83	68	54	53	69	16	169	95	153
CQUJHB005847	648	355	742	323	393	275	368	485	314	818	604	741
CQUJHB017292	319	8	244	27	26	31	9	8	11	878	227	87
CQUJHB003135	2130	663	2395	537	711	544	425	707	569	4615	2541	1301
CQUJHB007220	3685	33	191	227	41	18	10	96	27	436	253	159
CQUJHB000639	2014	265	906	330	445	165	90	225	191	3167	1046	557
CQUJHB009034	78	32	35	12	16	13	21	12	2	47	25	85
CQUJHB016882	626	159	1210	219	180	187	306	139	287	1136	740	1072
CQUJHB010002	827	270	946	408	266	402	290	390	214	1142	674	843
CQUJHB011979	651	261	719	224	288	190	208	289	273	777	583	829
CQUJHB001315	36	16	69	14	31	11	21	16	16	46	42	116
CQUJHB004938	294	170	381	137	216	93	136	217	110	449	343	376
CQUJHB005484	995	226	1996	133	511	159	1004	563	398	1571	1898	2067
CQUJHB011161	22143	57641	14698	63364	24292	27124	21795	34211	17358	11785	15430	34853
CQUJHB003525	69	13	50	25	14	29	12	16	30	109	44	78
CQUJHB008255	77	8	43	17	13	34	23	22	3	108	40	45
CQUJHB003641	4028	1107	4806	1306	1135	1699	1840	1391	1016	6277	3489	4171
CQUJHB014614	0	2	0	1	0	1	1	0	0	1	0	0
CQUJHB002529	710	217	1150	429	261	262	342	335	119	1185	678	625
CQUJHB011729	8	0	3	4	0	0	0	2	0	18	6	5
CQUJHB011112	487	1541	248	2581	149	1141	1104	1168	383	44	138	913
CQUJHB007502	253	76	235	84	103	51	57	56	47	236	163	205
CQUJHB006920	2324	59289	8084	85760	45051	13923	3119	13546	17758	492	36457	43644
CQUJHB009767	830	776	1127	1046	822	404	268	514	428	1464	1020	1235
CQUJHB003536	7	4	18	4	3	4	12	0	0	9	8	24
CQUJHB012867	1	0	2	4	0	4	0	0	0	0	5	4
CQUJHB005341	0	1	9	11	3	2	0	4	1	6	4	0
CQUJHB010714	444	186	455	397	210	390	201	220	114	651	330	533
CQUJHB010954	24	26	68	76	15	6	17	12	28	46	27	30
CQUJHB011642	9	0	4	13	1	1	0	1	4	0	1	11
CQUJHB008269	0	0	4	0	0	0	0	0	0	0	0	0
CQUJHB002955	193	176	195	151	175	160	159	255	149	194	136	272
CQUJHB015474	1668	704	1748	504	782	408	1656	1030	619	3079	2098	1627
CQUJHB003271	939	357	1029	479	412	633	454	501	262	1301	841	1256
CQUJHB017389	16	163	15	402	50	72	55	115	11	3	44	85
CQUJHB007917	2308	1099	3006	1260	1240	1098	1367	1184	900	4534	2662	2320
CQUJHB007769	5	11	7	35	9	5	5	11	1	0	7	4
CQUJHB002077	238	96	261	223	155	103	88	106	93	263	143	339
CQUJHB002841	0	0	0	1	0	3	1	2	0	3	1	0
CQUJHB008096	2609	830	4356	1420	1036	1170	1042	764	1037	3549	2664	2667
CQUJHB017188	0	0	0	0	0	0	0	0	0	0	2	8
CQUJHB004558	428	34	301	25	20	56	92	41	60	687	138	130
CQUJHB004977	2	0	7	0	0	0	3	1	0	2	1	10
CQUJHB013116	0	0	2	0	0	1	1	0	0	0	0	0
CQUJHB014324	2684	21	1266	439	152	497	94	315	54	2737	1798	1007
CQUJHB011494	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002728	21	0	0	2	0	0	0	0	0	0	4	0
CQUJHB006903	3	0	1	0	0	0	0	0	0	0	0	9
CQUJHB011037	34	45	57	35	89	8	58	69	59	5	179	185
CQUJHB017455	54	0	1	4	0	1	0	0	0	2	3	0
CQUJHB009817	117	6	2	4	0	0	0	2	0	13	7	5
CQUJHB006745	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008432	29	18	20	54	22	13	9	6	13	10	12	13
CQUJHB015772	1	0	2	0	0	0	0	1	0	0	0	0
CQUJHB008108	3295	1897	4701	3373	1886	2019	1502	1936	1004	4990	4179	3774
CQUJHB012716	2130	611	1409	839	1392	1035	824	1093	701	4116	1998	2217
CQUJHB012478	106	61	154	93	58	27	32	54	47	203	146	218
CQUJHB018334	62	23	71	16	50	6	19	27	57	78	66	75
CQUJHB006429	174	84	224	110	139	73	106	103	66	231	235	200
CQUJHB011007	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015464	57	18	43	15	19	10	31	18	10	32	35	58
CQUJHB005474	254	65	320	88	77	135	91	108	52	305	229	275
CQUJHB010085	600	172	812	285	403	276	242	279	351	840	707	831
CQUJHB011169	85	43	155	63	73	37	48	65	31	136	109	188
CQUJHB017623	4	0	5	0	3	3	6	1	0	0	4	0
CQUJHB016707	6407	2700	6453	3019	2883	3909	4950	3837	1704	6633	4687	7058
CQUJHB008964	356	26	312	57	37	52	114	27	79	493	209	279
CQUJHB010810	195	10	110	20	24	17	57	7	6	169	58	33
CQUJHB007361	24	6	25	15	7	13	6	10	7	51	56	4
CQUJHB017027	101	75	83	99	54	73	53	105	62	390	407	173
CQUJHB007537	22	0	34	2	0	7	6	3	9	35	9	6
CQUJHB016577	21	10	40	7	15	15	6	11	10	54	42	46
CQUJHB008153	141	39	198	67	64	58	72	68	23	196	156	194
CQUJHB009426	28	4	31	7	18	5	12	2	0	24	23	74
CQUJHB000552	5449	4576	6448	6736	4890	2673	3218	4753	3115	6316	5772	8145
CQUJHB015934	786	300	932	341	391	480	347	489	203	930	634	1004
CQUJHB017090	406	376	451	405	359	265	240	475	111	360	263	788
CQUJHB011513	489	215	935	298	253	238	250	200	237	875	668	674
CQUJHB009844	202	256	295	172	231	145	201	198	232	382	325	409
CQUJHB017742	84	49	130	21	68	30	44	69	24	142	96	172
CQUJHB000996	201	53	260	89	83	112	96	78	41	319	161	248
CQUJHB006227	25	11	79	0	44	10	22	21	53	66	98	57
CQUJHB018372	854	395	685	267	256	130	422	606	174	1508	893	733
CQUJHB009640	619	17	2316	38	221	161	519	210	83	1066	1268	761
CQUJHB013016	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014284	135	0	384	5	43	37	77	23	7	164	141	211
CQUJHB014541	73	29	107	33	65	43	54	36	45	115	78	151
CQUJHB003208	78	2	90	37	23	9	45	43	13	133	72	25
CQUJHB009544	200	49	281	64	93	64	78	63	101	295	188	215
CQUJHB001529	177	79	352	123	97	129	118	58	120	334	204	377
CQUJHB018175	74	42	121	45	67	30	43	59	75	93	78	196
CQUJHB015325	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016610	117	50	158	47	42	50	69	49	90	180	110	195
CQUJHB015187	228	255	421	157	226	104	163	135	286	342	415	620
CQUJHB002866	173	131	262	136	113	106	72	190	46	262	171	309
CQUJHB003498	186	171	357	111	133	75	96	108	204	320	332	509
CQUJHB002006	170	217	255	245	163	92	85	151	166	203	155	291
CQUJHB004688	1330	487	2383	547	622	688	938	520	399	1354	1375	2057
CQUJHB007080	159	0	109	0	3	4	2	5	0	95	0	9
CQUJHB002671	5	0	4	0	1	0	0	0	14	11	3	0
CQUJHB017059	239	113	199	125	123	121	131	196	96	237	223	272
CQUJHB016448	441	118	623	163	130	177	140	107	150	577	428	498
CQUJHB003094	86	5	88	5	24	19	18	22	24	92	25	148
CQUJHB018386	100	28	105	42	58	43	36	21	65	126	100	122
CQUJHB012912	82	59	78	36	73	39	40	60	46	116	90	142
CQUJHB003179	99	43	206	45	51	30	51	47	29	198	118	136
CQUJHB013561	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015982	0	0	0	0	0	0	0	0	0	1	0	0
CQUJHB009707	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005957	0	0	2	0	3	0	0	0	0	0	1	0
CQUJHB009978	142	41	217	70	45	75	68	65	31	223	144	151
CQUJHB013006	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015216	2865	473	1115	382	1089	215	353	704	512	3272	2306	1766
CQUJHB009561	0	0	0	3	0	1	0	0	0	0	0	0
CQUJHB017352	360	24	240	30	39	31	235	18	68	280	109	107
CQUJHB010802	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007270	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016865	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012886	647	214	1177	235	394	163	317	173	247	1698	1336	848
CQUJHB006335	4	3	10	1	0	5	6	1	0	4	6	1
CQUJHB006802	523	159	626	240	205	143	218	108	160	721	638	486
CQUJHB006669	247	55	376	41	79	42	243	38	62	402	226	312
CQUJHB000859	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001026	222	0	82	0	2	0	3	1	0	1181	597	2
CQUJHB011912	0	0	0	0	2	0	0	0	0	1	3	0
CQUJHB014891	6443	768	6553	2323	4502	2556	1329	1976	1887	5731	5297	6702
CQUJHB014408	75	1	64	0	0	7	1	0	0	360	245	0
CQUJHB004997	6860	3834	7838	2495	4125	2501	3011	4165	3269	7839	6841	9125
CQUJHB013830	396	362	593	200	387	185	267	357	495	620	520	606
CQUJHB005314	2051	1689	1656	2155	1443	1608	845	1360	628	1999	1177	1843
CQUJHB008508	130	1	95	8	2	22	30	4	17	183	37	11
CQUJHB017324	4	2	6	3	0	0	2	0	2	3	9	31
CQUJHB014286	0	0	1	0	0	0	0	0	0	0	1	0
CQUJHB009146	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006698	0	0	0	0	0	0	0	0	0	1	0	0
CQUJHB001111	439	314	531	257	265	347	380	323	228	672	702	553
CQUJHB003065	72	22	127	47	61	15	5	13	19	145	108	50
CQUJHB000598	4	0	0	1	0	0	1	0	0	2	1	4
CQUJHB001608	163	49	168	49	99	44	94	57	68	451	340	218
CQUJHB002849	275	96	533	200	155	234	164	107	114	565	393	501
CQUJHB011178	2	2	4	2	5	0	0	0	0	3	3	38
CQUJHB003567	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009274	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010707	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014484	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005572	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001813	13	1	22	0	9	2	60	2	16	25	13	22
CQUJHB008653	1559	429	1449	428	383	605	568	285	243	2093	1300	1119
CQUJHB017080	5	4	4	0	0	0	0	0	0	5	3	8
CQUJHB000098	12	0	7	2	3	0	0	1	0	2	5	0
CQUJHB004813	1697	377	1806	528	479	627	632	453	421	2833	1504	1500
CQUJHB014920	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010293	0	0	0	2	0	0	0	0	0	0	0	0
CQUJHB017718	44	0	74	0	8	3	2	3	0	72	33	67
CQUJHB010680	713	1285	935	928	730	518	830	795	579	1343	1400	1534
CQUJHB005780	69	10	97	8	18	26	15	11	30	123	28	60
CQUJHB000846	2122	259	1857	173	932	340	2423	692	504	1794	5516	2417
CQUJHB001502	0	0	0	0	0	0	0	0	0	0	1	4
CQUJHB001966	5	0	5	0	1	3	1	0	0	6	1	0
CQUJHB003403	26	0	36	0	0	2	2	3	0	34	0	36
CQUJHB001300	10168	4566	21914	6684	5458	5369	5353	4989	3127	15596	12298	12689
CQUJHB003902	392	134	559	104	171	118	135	134	238	724	589	480
CQUJHB003765	138	53	241	53	46	54	46	22	58	222	206	218
CQUJHB008630	154	21	251	40	61	33	35	13	65	195	176	228
CQUJHB012680	325	66	367	173	119	282	163	119	130	478	285	459
CQUJHB007657	720	225	842	494	731	318	329	274	314	917	923	987
CQUJHB010953	18	21	22	1	12	5	15	12	0	44	19	22
CQUJHB009774	384	121	523	178	135	166	166	119	166	584	311	565
CQUJHB009376	133	0	150	0	2	5	2	15	6	118	0	40
CQUJHB015657	702	130	874	211	192	259	320	202	104	1534	681	452
CQUJHB008522	40	7	27	9	7	18	10	22	26	29	14	38
CQUJHB000434	60	15	133	32	41	76	91	113	62	109	126	240
CQUJHB010155	757	335	1681	144	513	154	1183	325	1006	1818	1494	1157
CQUJHB007877	937	445	548	371	519	312	657	1337	286	494	422	1101
CQUJHB005717	2	12	2	5	0	2	2	7	0	2	6	11
CQUJHB014870	490	275	559	179	125	175	255	427	74	1014	398	313
CQUJHB015274	619	198	1154	291	230	274	439	250	271	1013	707	844
CQUJHB011358	28	27	68	90	21	38	42	30	55	97	25	56
CQUJHB015633	645	48	927	42	54	93	77	67	143	439	278	804
CQUJHB018129	4209	1435	5529	1703	1814	1651	2382	1699	1631	6907	5292	5013
CQUJHB017374	2	0	2	8	0	0	1	2	1	2	1	0
CQUJHB005879	320	330	601	667	223	350	330	428	186	353	319	638
CQUJHB008842	58	3	38	12	11	5	58	12	0	68	35	49
CQUJHB006892	156	134	1119	219	203	533	54	30	74	208	111	487
CQUJHB013991	485	24	294	40	18	36	205	16	16	636	181	139
CQUJHB015684	16262	1	15021	17	221	492	495	712	5	23263	18693	9105
CQUJHB017167	128	3	55	6	4	16	60	11	0	158	70	93
CQUJHB012718	936	258	903	430	337	586	454	335	272	1187	654	762
CQUJHB014571	3124	1426	5224	1679	2341	1182	2111	1722	2280	5199	4766	4657
CQUJHB006095	281	172	217	96	175	96	145	297	58	174	321	468
CQUJHB017805	143	2	188	0	4	13	3	13	14	96	17	70
CQUJHB015309	199	61	267	100	105	85	61	81	50	268	201	258
CQUJHB007816	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016398	2432	1661	2118	1963	768	2623	1327	2398	482	2165	1728	2411
CQUJHB002888	45	0	59	6	2	3	22	13	7	50	5	84
CQUJHB000044	117	2	130	5	7	6	13	8	12	125	29	93
CQUJHB006144	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009926	7	0	4	0	0	0	2	3	0	4	0	1
CQUJHB005836	227	71	367	99	67	83	132	91	65	345	276	252
CQUJHB004990	10	0	4	0	0	0	0	2	0	4	0	8
CQUJHB013354	53	9	42	15	16	22	23	20	6	40	30	60
CQUJHB007914	152	87	150	97	112	48	78	92	121	234	300	291
CQUJHB006973	116	74	107	49	60	35	60	133	25	152	143	205
CQUJHB003288	249	58	358	134	116	81	133	104	82	317	271	401
CQUJHB011170	938	506	1247	542	799	716	786	833	254	1036	950	1134
CQUJHB015317	244	55	370	71	101	75	179	99	117	281	303	466
CQUJHB018379	1640	2000	1057	846	1370	641	1278	2383	924	1774	1736	1860
CQUJHB006744	27	0	1	0	8	1	9	33	0	9	5	17
CQUJHB009163	133	434	92	914	117	386	210	650	48	6	43	138
CQUJHB017502	5	2	2	0	5	3	3	1	0	3	3	5
CQUJHB016606	321	483	704	154	638	98	606	615	482	451	1195	856
CQUJHB014122	185	52	310	71	85	68	76	74	69	294	235	208
CQUJHB018365	281	0	270	0	0	10	7	18	7	194	26	242
CQUJHB011416	24	17	48	1	11	7	9	43	0	55	36	42
CQUJHB005614	1114	555	2870	25	373	1278	520	1294	630	3223	3274	3267
CQUJHB006897	423	191	338	217	124	452	338	334	58	564	399	370
CQUJHB000707	0	0	0	0	0	0	0	0	0	0	1	0
CQUJHB005525	3	2	0	14	2	8	0	13	0	1	0	8
CQUJHB013240	4295	5863	4949	7117	3877	2514	2315	4813	3101	4677	5799	9205
CQUJHB018277	155	24	404	95	111	70	83	70	139	222	423	510
CQUJHB009359	30	11	75	35	32	18	21	15	26	51	62	97
CQUJHB007821	931	313	790	491	289	726	303	449	79	916	484	709
CQUJHB007747	301	64	360	94	72	84	95	139	56	351	259	529
CQUJHB011344	489	188	658	326	251	269	260	291	274	603	541	666
CQUJHB009607	212	170	185	93	159	75	162	210	97	211	216	381
CQUJHB000523	26	12	39	0	9	11	64	11	0	106	15	33
CQUJHB010122	325	95	585	27	114	197	260	210	81	387	329	705
CQUJHB001396	331	243	529	271	225	124	144	309	198	447	470	684
CQUJHB000515	32	6	39	5	17	1	88	15	11	69	49	37
CQUJHB017345	2280	257	978	448	402	376	271	340	165	1987	1325	799
CQUJHB002200	231	78	472	117	191	50	112	137	384	251	640	949
CQUJHB017697	2996	1065	3863	1938	1183	1130	1287	1272	789	3535	2944	3995
CQUJHB002813	206	52	273	132	86	84	54	49	62	213	124	135
CQUJHB000666	18	9	16	16	14	6	20	18	23	7	8	27
CQUJHB002693	33	12	64	21	40	15	18	31	57	61	47	55
CQUJHB004871	215	51	135	63	52	65	40	47	108	109	60	377
CQUJHB009872	0	0	0	0	0	0	0	0	0	2	0	0
CQUJHB014976	17	5	15	2	1	4	5	3	2	41	9	10
CQUJHB005350	4	8	2	11	1	1	4	4	0	2	4	4
CQUJHB004480	11970	2419	12625	7323	9673	5057	3355	5207	3641	12243	10968	10826
CQUJHB000623	174	22	370	58	55	44	64	19	41	318	175	183
CQUJHB010525	0	11	4	3	2	5	2	1	0	2	3	0
CQUJHB014136	342	145	616	241	160	104	127	160	135	597	467	493
CQUJHB018167	394	254	368	114	309	157	295	450	259	577	511	515
CQUJHB012446	2070	197	5588	337	433	761	334	279	262	4388	2207	2846
CQUJHB001852	204	181	1	62	98	110	192	547	1	2	150	247
CQUJHB008132	517	127	357	130	128	191	155	201	77	705	490	446
CQUJHB014263	42	23	66	51	29	8	24	36	15	39	62	68
CQUJHB000825	866	205	1195	456	330	291	452	333	233	1325	1022	941
CQUJHB015902	0	0	0	3	0	1	0	1	0	0	0	0
CQUJHB002734	914	131	956	218	161	258	283	215	177	1972	958	656
CQUJHB005719	276	95	133	234	287	82	123	311	53	217	300	398
CQUJHB014563	263	316	277	424	231	231	283	333	134	253	237	435
CQUJHB002599	3471	1494	2777	1344	3922	635	1626	2964	1637	3159	4838	6103
CQUJHB017433	6	6	9	4	9	4	0	6	0	3	7	25
CQUJHB012869	78	52	19	79	49	40	19	52	8	35	12	104
CQUJHB007468	18	0	13	2	1	1	2	0	0	13	10	27
CQUJHB012515	14	0	14	3	3	3	11	2	0	24	5	22
CQUJHB015531	135	29	220	121	85	40	56	58	90	174	160	244
CQUJHB009829	86	39	267	110	250	16	3	112	86	40	92	754
CQUJHB007878	0	1	1	5	0	0	30	1	0	0	2	0
CQUJHB003884	5	0	0	2	0	0	0	0	0	0	0	0
CQUJHB018079	1	7	3	12	8	3	9	8	0	0	6	0
CQUJHB012396	170	85	205	185	176	118	56	116	72	225	151	174
CQUJHB014480	6609	2576	5681	3415	4384	3249	2829	4925	1938	5400	5022	8152
CQUJHB017710	222	76	199	115	97	80	175	143	60	194	174	273
CQUJHB001672	82	22	55	12	46	9	290	97	15	42	207	105
CQUJHB001168	637	773	771	552	497	358	578	719	551	1068	1097	1119
CQUJHB011365	82	6	70	8	13	7	29	6	4	80	36	50
CQUJHB001522	0	0	0	0	0	0	0	0	0	2	0	0
CQUJHB017723	1292	390	738	422	427	465	314	741	161	2991	593	1101
CQUJHB007102	0	0	0	0	0	0	1	1	0	0	0	0
CQUJHB000760	6148	2748	6229	1604	3760	1727	2291	3799	2026	6970	5821	8752
CQUJHB009207	860	54	175	68	96	57	126	53	43	768	503	194
CQUJHB018359	0	0	0	0	0	0	4	0	0	0	0	6
CQUJHB010463	37	0	33	3	17	3	6	2	0	53	33	21
CQUJHB017349	409	173	298	51	247	19	219	244	235	614	967	531
CQUJHB016824	1075	201	1359	280	411	167	160	213	370	2139	1959	708
CQUJHB014182	672	0	1206	5	60	20	55	108	7	528	498	1005
CQUJHB009508	115	80	126	44	97	14	31	63	66	130	127	166
CQUJHB003992	80	36	81	43	78	20	24	66	16	58	78	136
CQUJHB004781	23	4	5	2	0	0	17	0	9	9	0	6
CQUJHB009909	318	161	425	283	196	114	93	223	155	308	264	486
CQUJHB006768	616	510	695	701	376	822	295	774	125	541	414	698
CQUJHB015095	1379	506	1971	772	563	873	749	718	454	2100	1476	1929
CQUJHB005583	517	5	56	55	9	20	23	12	27	890	386	12
CQUJHB009915	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003282	215	208	353	173	182	113	166	271	159	429	367	373
CQUJHB013248	1932	1199	1198	1615	688	2072	1368	1821	353	1010	885	1705
CQUJHB014642	4232	16902	969	6336	1505	12581	5842	10024	1090	136	419	1255
CQUJHB017006	9	4	6	7	4	11	3	5	5	6	3	10
CQUJHB010304	0	0	7	0	5	0	0	1	0	3	7	4
CQUJHB014575	246	521	193	818	239	537	317	696	74	159	108	376
CQUJHB009156	1760	752	1671	736	1166	989	465	808	542	462	859	6546
CQUJHB012859	2	1	4	4	3	1	0	2	0	12	1	0
CQUJHB006956	47	0	44	5	5	12	18	0	8	81	26	45
CQUJHB014307	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014588	27	11	59	30	20	33	21	19	22	20	30	26
CQUJHB004906	109	94	165	183	78	97	76	264	22	106	112	229
CQUJHB001147	17	0	1	0	0	6	3	1	0	20	16	4
CQUJHB002668	65	12	19	3	6	3	20	17	0	131	91	20
CQUJHB012038	14	3	111	6	3	4	0	0	7	32	17	11
CQUJHB008517	35	0	525	13	4	30	13	16	0	104	43	22
CQUJHB002237	201	68	257	112	88	102	286	107	102	270	160	188
CQUJHB009064	1547	3335	1777	2645	2000	1623	2140	2581	1748	1822	2243	2773
CQUJHB010901	14331	61854	7419	36270	21808	41792	15967	33594	10105	396	1964	19007
CQUJHB002901	7266	63426	2838	4393	6904	17519	7814	21099	32165	83	1480	14372
CQUJHB014303	1130	44	732	153	419	276	90	507	62	3822	1540	577
CQUJHB010086	60	109	39	225	117	42	18	92	18	4	8	178
CQUJHB000038	7	11	0	0	13	0	0	0	5	0	34	16
CQUJHB009244	90	45	110	9	90	6	59	51	86	290	273	173
CQUJHB006932	720	283	624	41	449	29	349	431	507	1388	1530	1396
CQUJHB002561	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016428	112	13	109	24	54	52	44	35	18	148	134	99
CQUJHB007696	14	2	16	8	7	4	5	3	4	9	7	25
CQUJHB010474	114	56	147	87	76	42	61	51	69	202	158	177
CQUJHB017979	99	33	116	44	20	40	31	37	16	165	121	133
CQUJHB012328	231	54	304	94	115	66	91	71	84	401	279	297
CQUJHB016566	14	8	22	16	13	8	13	24	10	7	17	11
CQUJHB003029	40	0	31	0	1	0	0	1	21	22	12	62
CQUJHB011185	13	0	8	0	0	0	0	2	0	5	3	1
CQUJHB000597	39	0	53	3	4	7	5	19	30	47	9	30
CQUJHB015846	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017789	16	0	9	1	2	0	2	3	0	7	3	29
CQUJHB008754	15	0	27	0	4	2	1	0	0	18	7	41
CQUJHB000261	320	209	399	205	250	141	209	450	155	557	234	354
CQUJHB010209	13	0	15	0	2	0	2	4	0	28	7	34
CQUJHB011990	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012319	7	0	6	0	0	0	0	0	0	9	0	20
CQUJHB000506	0	4	0	0	0	0	2	1	0	0	2	12
CQUJHB001761	0	0	0	0	0	0	0	1	0	0	0	0
CQUJHB003041	1491	246	2848	161	487	242	1376	594	355	3121	3201	1723
CQUJHB017272	1	0	0	5	3	1	0	1	0	5	0	0
CQUJHB017542	2	2	3	0	5	2	2	1	4	0	1	0
CQUJHB007529	209	157	362	239	259	111	119	118	119	345	222	375
CQUJHB014777	145	34	233	86	33	49	41	69	49	239	185	162
CQUJHB005677	617	364	773	417	323	257	240	258	236	969	724	755
CQUJHB011514	0	0	1	1	0	0	0	0	0	1	0	0
CQUJHB012883	876	219	504	2	305	81	1441	659	136	274	2291	732
CQUJHB004567	326	189	664	290	99	277	333	326	150	503	303	303
CQUJHB004727	622	189	152	115	212	74	97	36	62	564	403	232
CQUJHB001642	12	0	3	1	0	0	2	2	0	8	3	0
CQUJHB003417	1	0	0	0	1	0	0	1	0	3	1	0
CQUJHB017893	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011563	5	0	12	0	1	1	2	2	0	19	5	0
CQUJHB000918	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014442	0	0	1	0	0	0	0	0	0	1	0	0
CQUJHB006368	1546	255	1193	867	305	3363	430	493	118	3329	1248	518
CQUJHB004982	382	58	655	140	115	86	212	156	78	572	480	432
CQUJHB010053	520	642	442	668	256	630	364	917	191	160	84	1014
CQUJHB001832	1198	1486	1557	920	1114	882	1189	2008	1004	1911	1701	1689
CQUJHB004614	48	23	121	28	24	30	24	36	28	104	82	83
CQUJHB012435	971	204	837	316	144	375	293	249	116	2158	857	777
CQUJHB004312	508	23	484	34	34	75	108	35	45	879	313	144
CQUJHB000019	259	128	216	293	166	117	71	100	41	212	201	322
CQUJHB007563	10	98	68	79	16	74	24	90	11	4	6	20
CQUJHB004306	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017904	2529	43	2520	4	195	1394	1147	2090	86	2962	242	2996
CQUJHB013397	1904	937	1943	1053	786	728	506	1019	343	6600	1773	1168
CQUJHB013742	242	393	343	305	265	202	172	249	161	331	283	412
CQUJHB016704	16533	4054	25613	12604	12264	6720	5204	7306	6594	14022	17468	25252
CQUJHB013767	46	2	99	11	29	8	16	25	30	72	72	81
CQUJHB011127	723	1470	828	1102	873	411	532	334	517	854	850	1276
CQUJHB000129	167	44	286	93	136	77	57	73	63	456	225	202
