GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB012296	9	1	8	22	14	6	6	6	9	19	10	0
CQUJHB011260	9	39	29	21	17	22	14	26	18	52	32	20
CQUJHB014409	456	369	370	363	513	331	316	212	230	550	338	496
CQUJHB000339	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003948	35	32	16	14	37	8	15	5	5	12	22	24
CQUJHB014153	83	109	49	53	70	59	70	23	40	54	234	84
CQUJHB005118	5	28	7	1	0	0	0	0	0	3	2	10
CQUJHB002082	72	69	27	54	47	40	73	22	20	52	72	72
CQUJHB008747	28	42	7	42	6	74	16	7	11	30	16	32
CQUJHB009051	6	37	19	17	27	24	23	18	9	10	22	19
CQUJHB006741	163	219	74	142	119	228	141	34	65	154	183	139
CQUJHB002946	18	5	18	43	30	32	4	14	7	48	18	8
CQUJHB014711	4	17	0	6	5	3	0	0	2	0	1	2
CQUJHB013831	38	10	9	17	32	26	12	8	11	2	26	662
CQUJHB005898	0	5	0	0	0	0	0	0	0	0	0	0
CQUJHB000021	57	42	9	23	15	10	7	2	5	5	44	14
CQUJHB009614	31	17	9	8	6	29	21	2	6	31	22	19
CQUJHB013579	73	81	29	64	49	65	84	34	18	48	68	82
CQUJHB009788	871	750	430	773	585	705	894	356	285	409	618	594
CQUJHB006430	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000078	1	0	0	1	7	0	0	0	0	0	6	0
CQUJHB009699	15	51	16	54	49	29	11	12	16	19	42	28
CQUJHB017371	22	7	0	20	16	6	0	5	0	34	31	5
CQUJHB008307	50	92	16	63	39	17	36	7	23	48	58	45
CQUJHB009712	107	66	20	51	28	59	55	15	16	33	73	46
CQUJHB011855	24	24	26	36	24	31	25	22	5	13	21	19
CQUJHB002729	230	306	76	201	172	157	205	62	92	340	182	192
CQUJHB001345	9	1	0	0	0	0	0	0	2	0	2	0
CQUJHB006161	13	16	0	1	0	0	0	0	0	0	0	1
CQUJHB012332	0	0	0	0	0	1	0	0	0	0	5	0
CQUJHB016750	1154	1745	443	1098	855	822	904	349	302	1030	1078	2229
CQUJHB001897	903	555	48	592	116	371	161	67	195	100	518	253
CQUJHB007445	0	0	0	0	0	0	0	0	0	0	4	1
CQUJHB014429	2	0	0	0	0	0	0	0	1	7	1	0
CQUJHB017646	870	254	4	216	47	472	143	87	201	59	439	117
CQUJHB015535	82	37	10	28	15	74	25	10	24	24	73	17
CQUJHB002696	5	19	3	4	6	1	4	0	0	4	0	3
CQUJHB000879	30	42	17	20	6	1	14	0	1	8	22	43
CQUJHB016613	13	55	14	20	49	12	18	4	2	22	26	45
CQUJHB002741	55	41	24	44	28	21	40	10	18	45	56	49
CQUJHB005847	232	138	63	140	76	61	60	27	57	98	154	95
CQUJHB017292	3	18	1	11	0	0	3	2	0	0	0	0
CQUJHB003135	54	109	17	41	63	24	38	6	8	32	95	37
CQUJHB007220	111	740	133	163	142	86	181	61	25	295	133	142
CQUJHB000639	86	490	74	202	174	54	123	21	27	82	216	227
CQUJHB009034	7	0	5	6	8	0	9	0	0	6	14	5
CQUJHB016882	215	212	91	226	276	144	183	79	162	205	258	171
CQUJHB010002	171	204	39	127	91	90	60	32	28	51	124	103
CQUJHB011979	108	118	43	90	14	52	41	24	31	64	122	81
CQUJHB001315	21	0	0	3	14	13	13	0	5	7	9	3
CQUJHB004938	122	67	30	74	32	39	64	20	15	49	95	57
CQUJHB005484	49	186	20	42	72	37	28	19	14	23	41	98
CQUJHB011161	7982	7347	2552	6769	4074	4638	5311	2088	2201	5668	6680	4281
CQUJHB003525	62	157	25	41	60	45	62	13	15	27	61	53
CQUJHB008255	9	0	1	2	17	0	5	0	1	0	23	13
CQUJHB003641	2162	1954	934	1697	1906	1357	1922	586	563	1340	1889	1641
CQUJHB014614	4	0	0	0	16	5	0	0	3	0	7	17
CQUJHB002529	805	1199	292	693	467	445	644	266	282	726	631	731
CQUJHB011729	38	19	26	49	28	31	30	23	5	17	46	19
CQUJHB011112	7	4	0	0	7	6	5	6	3	0	0	0
CQUJHB007502	76	66	11	32	46	19	68	14	18	35	51	16
CQUJHB006920	63	23	11	16	11	23	47	7	5	13	27	9
CQUJHB009767	274	249	63	111	92	62	55	47	33	72	321	161
CQUJHB003536	4	6	1	8	1	2	7	0	1	0	19	3
CQUJHB012867	7	10	0	0	0	0	0	0	2	0	0	0
CQUJHB005341	21	13	4	8	2	5	2	0	4	2	19	49
CQUJHB010714	80	64	55	117	63	99	39	22	35	69	95	86
CQUJHB010954	592	500	364	964	590	905	413	279	132	409	1017	1117
CQUJHB011642	17	49	15	33	68	3	10	12	14	38	12	28
CQUJHB008269	0	0	0	2	0	0	0	0	0	0	0	0
CQUJHB002955	201	391	76	199	136	122	144	90	74	147	202	151
CQUJHB015474	432	738	491	601	725	505	567	258	378	541	453	562
CQUJHB003271	188	257	90	172	84	130	168	55	60	93	136	153
CQUJHB017389	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007917	686	916	516	699	669	658	620	337	245	757	602	796
CQUJHB007769	1	0	3	0	6	0	0	0	1	0	2	7
CQUJHB002077	72	69	102	157	112	79	120	72	52	119	107	78
CQUJHB002841	0	0	2	5	0	0	6	0	0	0	0	0
CQUJHB008096	3553	3595	948	2360	2435	1640	2051	957	1262	1768	4210	1899
CQUJHB017188	6	4	0	3	11	8	9	0	1	0	0	9
CQUJHB004558	137	92	13	61	81	37	18	15	26	70	63	51
CQUJHB004977	3	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013116	0	0	0	0	0	0	0	0	0	2	0	0
CQUJHB014324	115	215	30	105	119	38	249	25	37	70	127	121
CQUJHB011494	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002728	12	0	5	4	0	0	21	3	1	4	4	10
CQUJHB006903	81	149	29	51	70	32	115	18	10	53	138	51
CQUJHB011037	6	0	4	0	0	0	1	0	0	0	6	0
CQUJHB017455	148	398	81	139	109	102	165	31	55	50	227	166
CQUJHB009817	116	247	37	143	74	46	109	23	18	150	283	314
CQUJHB006745	0	0	0	0	4	0	0	0	0	0	0	0
CQUJHB008432	0	0	0	3	0	0	0	0	0	0	1	0
CQUJHB015772	348	480	107	537	330	389	571	107	99	260	337	257
CQUJHB008108	4062	3007	838	2329	1642	1898	2022	739	753	1301	2701	2133
CQUJHB012716	811	731	398	485	625	527	413	303	239	543	454	612
CQUJHB012478	68	77	31	78	29	83	32	21	19	25	89	62
CQUJHB018334	49	64	24	26	29	17	25	2	10	12	60	36
CQUJHB006429	34	91	22	35	0	53	40	13	27	5	110	53
CQUJHB011007	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015464	12	38	10	19	16	10	19	3	7	5	17	11
CQUJHB005474	24	9	14	14	22	28	13	2	6	3	37	19
CQUJHB010085	346	518	134	340	198	236	271	136	100	266	331	319
CQUJHB011169	51	30	6	28	20	26	32	16	8	16	34	37
CQUJHB017623	11	0	3	0	0	0	11	3	3	8	2	9
CQUJHB016707	892	1025	578	744	1242	650	588	397	436	607	800	773
CQUJHB008964	42	30	62	74	54	73	93	26	44	65	34	57
CQUJHB010810	415	447	532	559	718	615	560	417	350	476	285	383
CQUJHB007361	6	9	2	1	6	2	0	1	2	0	0	0
CQUJHB017027	428	98	53	129	106	73	132	33	53	174	187	65
CQUJHB007537	17	0	17	16	8	15	10	11	7	6	20	10
CQUJHB016577	25	13	12	15	17	24	13	3	6	6	18	19
CQUJHB008153	22	12	7	20	11	12	16	13	6	7	20	10
CQUJHB009426	32	55	4	36	0	23	21	8	5	14	34	22
CQUJHB000552	2042	1439	454	919	820	863	788	245	300	574	2482	1518
CQUJHB015934	148	138	30	75	55	83	69	8	16	53	223	97
CQUJHB017090	28	114	16	37	25	15	24	6	11	16	43	67
CQUJHB011513	95	129	33	81	40	64	103	24	28	55	130	87
CQUJHB009844	116	82	15	48	83	73	58	10	14	31	175	37
CQUJHB017742	5	0	0	1	0	0	9	2	4	7	3	12
CQUJHB000996	30	27	4	13	0	10	26	4	14	0	9	39
CQUJHB006227	9	50	12	26	67	4	22	21	12	44	24	6
CQUJHB018372	157	377	54	142	72	125	29	21	34	67	174	205
CQUJHB009640	1	0	4	22	2	7	14	3	5	11	1	31
CQUJHB013016	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014284	4	0	0	1	0	9	2	0	0	6	2	0
CQUJHB014541	39	14	9	13	21	41	7	4	5	17	36	39
CQUJHB003208	27	35	6	21	16	29	9	1	2	16	44	22
CQUJHB009544	88	24	19	59	41	64	63	10	13	30	75	66
CQUJHB001529	121	136	53	83	80	71	64	5	24	78	138	62
CQUJHB018175	43	39	40	38	29	26	43	10	23	16	45	45
CQUJHB015325	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016610	99	66	22	41	15	12	40	13	8	8	74	44
CQUJHB015187	156	98	28	62	44	30	27	7	10	64	45	33
CQUJHB002866	31	6	6	20	4	25	15	3	0	10	25	2
CQUJHB003498	146	106	17	50	42	74	97	15	24	14	193	52
CQUJHB002006	61	51	15	35	36	25	46	9	1	31	32	32
CQUJHB004688	507	775	283	462	410	153	238	22	80	514	307	265
CQUJHB007080	0	0	1	5	3	0	0	0	0	0	0	0
CQUJHB002671	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017059	40	52	6	28	17	26	21	3	11	18	52	40
CQUJHB016448	99	86	41	87	47	75	59	5	13	34	122	49
CQUJHB003094	61	36	5	9	10	16	27	2	8	11	29	9
CQUJHB018386	23	33	11	26	27	16	15	9	5	25	19	21
CQUJHB012912	34	23	23	13	9	27	20	9	2	7	23	46
CQUJHB003179	40	29	12	29	14	57	18	16	18	23	38	33
CQUJHB013561	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015982	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009707	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005957	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009978	37	34	8	16	13	22	12	5	6	31	33	41
CQUJHB013006	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015216	149	507	66	389	121	123	213	83	52	105	718	265
CQUJHB009561	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017352	28	34	15	45	17	6	0	3	1	9	66	34
CQUJHB010802	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007270	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016865	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012886	547	643	132	311	321	380	420	72	113	226	817	363
CQUJHB006335	38	0	0	0	1	0	4	0	0	0	3	0
CQUJHB006802	177	208	37	113	131	83	51	10	16	98	171	102
CQUJHB006669	45	18	12	4	37	4	15	0	3	20	33	17
CQUJHB000859	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001026	216	189	384	527	1389	330	608	297	189	126	310	330
CQUJHB011912	100	136	132	169	795	104	139	22	67	12	180	107
CQUJHB014891	1052	1147	987	893	1932	877	610	135	167	748	816	810
CQUJHB014408	0	0	0	0	0	0	0	0	0	0	0	4
CQUJHB004997	820	666	138	461	356	197	224	88	94	544	720	391
CQUJHB013830	188	116	31	89	90	60	73	17	28	54	207	82
CQUJHB005314	353	234	46	154	90	134	162	43	35	153	160	128
CQUJHB008508	34	7	8	15	0	18	26	11	10	21	44	72
CQUJHB017324	1	0	0	0	0	0	0	0	0	0	4	4
CQUJHB014286	0	0	0	0	0	0	3	0	0	0	0	0
CQUJHB009146	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006698	0	0	0	0	0	0	0	0	0	5	0	0
CQUJHB001111	129	205	109	142	136	163	92	16	34	111	153	77
CQUJHB003065	12	25	11	11	26	14	12	5	8	1	30	38
CQUJHB000598	11	5	0	0	0	7	0	0	0	0	8	1
CQUJHB001608	44	201	56	126	100	83	104	36	58	94	81	63
CQUJHB002849	36	41	24	21	19	29	21	3	4	25	65	15
CQUJHB011178	29	11	2	17	18	0	8	3	0	1	12	8
CQUJHB003567	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009274	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010707	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014484	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005572	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001813	2	5	2	2	0	19	1	1	0	2	7	6
CQUJHB008653	522	857	278	427	359	241	354	60	97	455	528	448
CQUJHB017080	12	12	2	7	3	3	8	5	4	1	10	13
CQUJHB000098	29	41	8	23	28	7	16	14	10	29	27	25
CQUJHB004813	352	501	80	377	378	211	244	85	69	217	274	286
CQUJHB014920	0	0	1	0	0	1	8	0	0	0	9	0
CQUJHB010293	0	0	0	1	0	0	0	0	0	0	0	0
CQUJHB017718	46	25	5	2	5	12	0	0	7	0	22	4
CQUJHB010680	712	542	123	281	341	269	145	47	64	150	722	321
CQUJHB005780	22	32	4	48	13	80	20	6	7	8	7	18
CQUJHB000846	311	789	334	435	649	368	235	40	62	351	376	343
CQUJHB001502	11	37	8	27	15	0	16	0	0	9	12	5
CQUJHB001966	36	83	19	60	106	4	16	2	1	28	7	23
CQUJHB003403	1	0	0	2	0	13	0	0	0	0	4	0
CQUJHB001300	371	731	262	309	199	210	196	46	50	302	500	1172
CQUJHB003902	62	17	8	41	34	19	33	0	7	39	37	36
CQUJHB003765	55	40	9	16	18	33	6	5	6	6	57	53
CQUJHB008630	27	12	0	11	3	0	10	3	1	0	21	11
CQUJHB012680	205	425	127	273	328	310	171	120	145	222	182	308
CQUJHB007657	205	171	145	196	233	178	123	58	58	132	192	145
CQUJHB010953	19	15	8	7	2	10	8	5	3	10	2	2
CQUJHB009774	140	61	45	72	70	117	56	21	38	53	107	80
CQUJHB009376	0	0	0	3	0	0	0	0	0	0	0	0
CQUJHB015657	339	338	213	294	340	268	302	56	71	317	353	233
CQUJHB008522	9	14	0	4	0	0	9	13	8	0	10	12
CQUJHB000434	54	27	19	7	5	1	10	8	10	38	11	45
CQUJHB010155	166	126	4	179	73	9	133	52	68	33	48	137
CQUJHB007877	127	74	22	63	48	58	60	67	60	29	109	79
CQUJHB005717	3	0	0	0	0	0	0	0	0	0	0	6
CQUJHB014870	65	58	17	63	36	37	18	15	16	44	146	112
CQUJHB015274	105	59	16	54	27	43	41	33	20	13	82	166
CQUJHB011358	0	3	2	1	6	0	0	0	0	0	0	11
CQUJHB015633	50	6	3	24	0	18	0	0	4	0	30	50
CQUJHB018129	3220	4272	1544	3091	2849	2269	2895	1188	1009	2440	3157	2251
CQUJHB017374	1	0	0	2	0	0	0	0	0	0	0	0
CQUJHB005879	197	127	42	161	96	147	161	41	57	69	171	119
CQUJHB008842	101	44	11	118	80	66	269	282	257	8	59	120
CQUJHB006892	52	23	10	33	0	0	2	7	11	14	35	58
CQUJHB013991	1351	909	856	1296	1166	1163	1351	590	467	1042	723	972
CQUJHB015684	694	1027	154	1110	522	858	1069	367	190	123	307	4223
CQUJHB017167	1364	615	891	1281	1167	1017	2071	637	593	906	846	1168
CQUJHB012718	276	331	171	311	296	177	237	95	112	188	216	289
CQUJHB014571	4010	4310	1294	3406	3013	2780	3260	1480	1557	2176	3590	2102
CQUJHB006095	141	49	13	51	32	49	49	21	50	22	109	198
CQUJHB017805	4	0	0	0	0	0	0	1	6	0	0	2
CQUJHB015309	55	38	8	22	21	2	11	10	7	13	53	32
CQUJHB007816	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016398	2332	1390	128	1724	623	482	2884	1795	1988	221	837	1597
CQUJHB002888	0	0	0	0	0	0	0	3	0	0	4	0
CQUJHB000044	2	0	1	5	0	0	0	1	1	6	0	4
CQUJHB006144	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009926	14	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005836	245	149	66	173	123	165	171	88	97	136	189	163
CQUJHB004990	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013354	38	52	4	19	8	0	21	2	3	10	26	27
CQUJHB007914	77	73	18	39	16	18	13	13	26	9	60	54
CQUJHB006973	71	58	7	55	34	11	47	27	44	25	21	64
CQUJHB003288	41	41	5	20	4	19	25	18	8	0	35	69
CQUJHB011170	79	52	18	37	55	7	65	40	38	23	57	252
CQUJHB015317	117	123	20	100	103	58	131	31	88	65	99	106
CQUJHB018379	2873	1757	275	1471	761	746	1273	509	475	415	2338	1187
CQUJHB006744	11	44	2	8	5	2	4	7	3	0	5	21
CQUJHB009163	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017502	0	0	0	0	0	0	0	0	1	0	0	0
CQUJHB016606	64	108	15	135	45	31	109	52	69	25	48	124
CQUJHB014122	44	33	6	40	8	6	13	1	6	17	65	21
CQUJHB018365	0	0	0	4	0	0	0	0	0	0	0	1
CQUJHB011416	0	17	0	16	5	0	8	4	0	78	9	0
CQUJHB005614	0	0	0	0	0	0	5	0	0	10	4	0
CQUJHB006897	175	83	30	130	31	34	136	118	83	35	36	89
CQUJHB000707	5	0	0	0	0	0	6	0	0	0	0	0
CQUJHB005525	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013240	4042	3124	1330	2325	2804	2189	2735	901	876	1347	4720	3536
CQUJHB018277	79	56	11	21	16	3	49	5	21	15	88	26
CQUJHB009359	32	5	1	8	0	11	11	1	3	3	11	3
CQUJHB007821	277	241	96	241	267	160	143	96	112	197	253	138
CQUJHB007747	74	60	6	20	14	22	24	6	8	16	55	36
CQUJHB011344	149	114	30	104	45	118	90	5	29	67	104	54
CQUJHB009607	51	90	7	36	22	19	5	11	14	8	54	26
CQUJHB000523	0	0	0	2	0	0	0	0	0	0	0	4
CQUJHB010122	21	46	16	26	39	29	40	8	9	10	40	51
CQUJHB001396	260	122	36	101	65	28	72	35	34	38	179	118
CQUJHB000515	6	12	8	3	4	6	19	3	8	16	27	20
CQUJHB017345	569	960	442	867	792	544	808	454	408	793	476	1101
CQUJHB002200	79	79	15	40	13	33	33	10	7	10	78	50
CQUJHB017697	512	469	169	425	331	324	143	63	77	287	579	731
CQUJHB002813	40	67	13	48	12	39	62	3	14	29	68	18
CQUJHB000666	8	20	0	14	0	14	1	0	7	0	2	18
CQUJHB002693	5	15	0	7	11	2	11	2	0	4	10	10
CQUJHB004871	45	66	28	61	18	19	55	8	9	25	85	89
CQUJHB009872	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014976	15	23	77	1	18	10	35	2	1	63	57	23
CQUJHB005350	0	0	0	0	0	0	0	0	0	0	0	2
CQUJHB004480	604	1179	317	573	390	541	412	146	153	468	571	1030
CQUJHB000623	235	98	94	216	172	150	164	109	69	22	94	121
CQUJHB010525	2629	3974	628	3757	1605	1513	2430	803	518	2000	1149	1064
CQUJHB014136	404	409	73	314	192	199	232	72	73	97	176	170
CQUJHB018167	579	479	182	632	434	347	718	413	295	197	482	746
CQUJHB012446	308	376	84	371	237	162	336	401	313	114	269	513
CQUJHB001852	174	207	10	119	43	41	180	83	78	11	58	230
CQUJHB008132	70	110	20	69	53	46	48	22	27	39	64	80
CQUJHB014263	27	32	7	27	2	31	9	5	8	7	19	34
CQUJHB000825	401	493	82	290	140	298	280	135	111	99	287	246
CQUJHB015902	2	0	0	3	0	2	0	1	0	0	0	1
CQUJHB002734	138	171	24	153	94	151	97	92	69	31	71	92
CQUJHB005719	325	488	84	284	262	331	284	100	56	117	264	329
CQUJHB014563	126	156	12	112	37	74	56	30	26	21	63	83
CQUJHB002599	800	1133	117	616	500	494	328	165	126	220	408	1216
CQUJHB017433	0	0	0	0	0	11	0	0	0	0	0	0
CQUJHB012869	116	167	4	153	62	104	164	58	71	5	36	43
CQUJHB007468	5	0	3	10	5	7	15	5	7	0	7	0
CQUJHB012515	20	0	4	15	11	0	37	3	14	9	9	18
CQUJHB015531	46	69	9	34	18	21	38	12	6	17	39	12
CQUJHB009829	0	0	0	0	6	0	0	0	0	0	0	0
CQUJHB007878	3	0	0	5	0	0	5	4	0	0	3	0
CQUJHB003884	0	0	0	0	0	2	0	0	0	0	0	1
CQUJHB018079	1	7	0	1	7	0	1	3	1	0	0	0
CQUJHB012396	56	128	43	57	82	56	107	24	19	38	88	139
CQUJHB014480	1026	1148	86	689	301	339	469	101	119	268	357	356
CQUJHB017710	20	26	2	3	0	11	9	7	11	17	14	11
CQUJHB001672	4	9	0	13	8	7	10	7	0	2	0	14
CQUJHB001168	822	414	141	389	393	321	340	95	110	280	766	562
CQUJHB011365	12	25	23	36	24	42	28	13	14	42	26	32
CQUJHB001522	0	0	0	0	0	0	0	2	0	0	0	0
CQUJHB017723	129	315	35	109	85	103	63	34	24	67	81	239
CQUJHB007102	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000760	1251	1251	194	957	439	352	725	143	207	1127	699	536
CQUJHB009207	445	416	177	373	453	414	272	186	101	223	286	353
CQUJHB018359	1	2	0	1	0	1	1	3	0	0	0	0
CQUJHB010463	1	13	1	0	0	2	3	0	1	5	3	3
CQUJHB017349	19	63	10	14	12	17	34	0	5	15	30	64
CQUJHB016824	137	268	54	102	99	125	106	42	34	56	145	161
CQUJHB014182	92	328	26	129	109	88	168	36	65	39	108	154
CQUJHB009508	25	3	6	7	8	3	11	2	4	3	41	17
CQUJHB003992	16	16	8	17	18	8	7	11	13	4	25	22
CQUJHB004781	8	0	35	21	9	7	54	9	26	41	40	20
CQUJHB009909	101	72	12	54	12	49	44	25	13	27	65	25
CQUJHB006768	216	120	45	155	124	215	94	14	42	58	296	194
CQUJHB015095	240	182	34	179	46	103	94	39	38	77	151	219
CQUJHB005583	120	641	225	276	403	187	179	93	86	489	304	389
CQUJHB009915	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003282	160	202	20	137	41	106	87	36	67	29	197	66
CQUJHB013248	126	118	12	51	25	30	43	14	15	20	110	51
CQUJHB014642	0	16	0	0	3	4	4	1	0	0	0	1
CQUJHB017006	8	21	1	6	2	7	5	1	0	5	0	13
CQUJHB010304	0	0	0	0	0	0	0	0	0	0	2	4
CQUJHB014575	84	66	20	87	14	44	35	9	13	26	60	30
CQUJHB009156	113	259	92	159	100	102	81	10	13	136	107	206
CQUJHB012859	16	28	4	1	0	3	20	0	0	5	3	5
CQUJHB006956	3	2	3	7	0	2	11	1	1	8	3	6
CQUJHB014307	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014588	7	10	2	9	8	0	7	6	3	1	13	6
CQUJHB004906	22	48	9	43	17	21	20	10	11	10	63	6
CQUJHB001147	13	9	5	12	2	0	2	2	0	9	0	16
CQUJHB002668	3	51	20	33	16	0	13	8	0	16	7	25
CQUJHB012038	3	0	1	2	7	0	2	0	0	0	2	3
CQUJHB008517	0	1	0	8	0	3	0	0	0	0	0	1
CQUJHB002237	148	85	15	24	25	30	28	5	43	27	105	70
CQUJHB009064	923	726	237	549	306	421	373	163	141	501	824	485
CQUJHB010901	0	1	1	7	0	1	1	1	0	3	11	5
CQUJHB002901	0	0	0	2	6	0	0	3	0	1	1	1
CQUJHB014303	135	89	84	122	122	89	87	64	58	181	128	214
CQUJHB010086	0	6	0	0	0	0	0	0	0	0	0	0
CQUJHB000038	14	27	0	0	11	0	1	3	0	0	0	0
CQUJHB009244	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006932	0	0	0	2	7	0	9	0	0	0	0	4
CQUJHB002561	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016428	0	0	1	1	5	7	0	0	1	11	8	7
CQUJHB007696	2	0	0	1	2	0	0	0	0	0	1	0
CQUJHB010474	51	13	4	14	27	28	6	2	11	9	93	20
CQUJHB017979	52	111	20	49	25	33	45	16	12	29	55	38
CQUJHB012328	41	70	7	14	13	10	28	7	10	8	66	14
CQUJHB016566	31	38	8	27	6	7	17	12	14	8	27	22
CQUJHB003029	2	12	0	0	0	0	4	2	0	6	10	4
CQUJHB011185	2	0	0	0	0	0	0	0	0	5	0	0
CQUJHB000597	100	45	7	12	19	52	14	8	6	6	57	21
CQUJHB015846	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017789	0	9	1	1	9	0	1	0	0	0	14	1
CQUJHB008754	2	0	0	0	0	0	0	0	0	3	0	0
CQUJHB000261	188	85	66	107	64	54	96	29	37	65	94	55
CQUJHB010209	16	19	0	0	11	6	0	1	2	0	2	6
CQUJHB011990	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012319	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000506	0	0	0	0	0	0	0	1	0	0	0	0
CQUJHB001761	0	0	0	0	0	0	0	0	2	0	0	0
CQUJHB003041	664	1431	501	1337	1109	602	1058	441	308	1253	473	842
CQUJHB017272	0	0	1	0	0	0	5	2	0	0	0	12
CQUJHB017542	4	1	0	2	0	1	5	0	0	0	2	0
CQUJHB007529	144	98	13	40	29	36	24	13	24	19	160	39
CQUJHB014777	46	40	13	42	17	32	18	2	8	20	48	35
CQUJHB005677	217	133	40	136	88	103	119	22	39	81	206	179
CQUJHB011514	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012883	0	0	1	11	8	0	6	0	0	4	0	1
CQUJHB004567	109	48	7	54	35	79	22	17	39	58	64	57
CQUJHB004727	15	64	18	49	13	51	35	7	10	19	84	40
CQUJHB001642	2	0	0	3	0	0	0	0	0	0	3	0
CQUJHB003417	0	0	0	1	0	0	0	0	0	0	0	0
CQUJHB017893	8	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011563	3	0	3	2	3	0	0	0	0	0	0	0
CQUJHB000918	2	0	1	4	0	3	0	3	1	2	0	0
CQUJHB014442	0	0	1	0	0	0	0	0	0	4	0	0
CQUJHB006368	479	654	294	590	509	266	499	176	160	384	462	425
CQUJHB004982	159	259	106	134	76	48	102	38	67	98	118	179
CQUJHB010053	355	183	49	238	92	100	166	83	39	122	139	61
CQUJHB001832	860	514	155	436	279	142	276	83	131	328	879	437
CQUJHB004614	11	9	2	13	11	7	3	9	3	17	21	19
CQUJHB012435	151	232	80	219	88	78	70	30	23	104	163	132
CQUJHB004312	1022	910	1131	1162	1225	913	1314	658	570	877	850	971
CQUJHB000019	158	182	44	98	77	175	70	36	49	52	384	224
CQUJHB007563	10	5	4	12	8	10	5	8	5	51	5	13
CQUJHB004306	0	0	0	0	0	0	0	1	0	0	0	0
CQUJHB017904	190	5362	129	2504	1686	319	1445	526	275	12086	161	1791
CQUJHB013397	330	473	136	308	183	103	314	76	77	195	1173	445
CQUJHB013742	238	163	61	139	109	75	94	27	28	119	166	153
CQUJHB016704	9583	17556	4023	9615	8769	5207	7954	2646	2923	4019	11350	8898
CQUJHB013767	30	30	3	39	16	0	23	2	0	11	19	19
CQUJHB011127	338	279	30	152	267	197	84	26	34	63	699	204
CQUJHB000129	20	16	8	12	0	5	24	13	4	8	35	18
CQUJHB004841	0	0	1	0	0	0	1	0	0	7	0	3
CQUJHB000369	33	40	25	13	13	15	15	5	9	10	29	28
CQUJHB002629	36	48	3	27	18	33	25	15	5	19	46	19
CQUJHB014805	55	47	24	25	25	12	61	13	15	24	50	59
CQUJHB007264	14	34	13	32	10	12	12	7	13	15	11	40
CQUJHB003951	250	233	66	125	133	133	130	48	40	139	223	176
CQUJHB009999	12	26	4	14	6	11	20	1	3	8	5	1
CQUJHB000239	79	46	22	54	38	30	56	24	23	63	101	43
CQUJHB012780	74	125	25	57	47	63	52	11	19	30	86	70
CQUJHB005918	78	42	12	47	16	41	36	1	4	38	69	44
CQUJHB012645	6	67	8	22	3	8	21	3	2	0	16	6
CQUJHB003042	28	9	15	19	13	21	12	10	6	16	30	29
