GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB000716	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012308	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008282	24	0	1	11	2	20	2	1	5	8	1	1
CQUJHB015415	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013054	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015072	130	88	29	60	33	39	80	6	18	27	99	110
CQUJHB017684	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014434	11	0	5	3	5	0	1	0	0	0	4	0
CQUJHB006314	157	1007	292	589	322	533	614	151	118	308	788	231
CQUJHB008339	65	44	2	4	106	7	45	47	45	0	1	21
CQUJHB011831	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB004338	0	0	1	0	1	0	0	0	0	0	0	0
CQUJHB014061	1378	831	409	759	897	589	734	466	401	664	720	795
CQUJHB001793	51	44	22	31	2	10	26	3	14	8	65	9
CQUJHB000719	111	82	28	27	80	53	47	5	17	31	109	71
CQUJHB005408	14	142	17	38	22	16	30	17	3	10	55	108
CQUJHB005532	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010427	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005546	2935	959	224	1976	1066	997	561	513	1151	817	668	1081
CQUJHB000723	0	10	0	2	5	0	4	7	4	9	4	37
CQUJHB006544	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015435	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014063	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011909	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014438	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011799	49	33	30	31	25	21	9	6	25	16	88	35
CQUJHB017214	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012786	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016834	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017406	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001075	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005626	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007346	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000430	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014757	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012734	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007631	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013245	247	201	116	171	125	114	145	54	37	125	249	129
CQUJHB011497	44	41	3	17	42	7	5	3	9	8	39	16
CQUJHB008150	157	194	31	91	121	66	70	49	44	115	84	83
CQUJHB003577	9	0	1	3	11	7	8	0	0	0	10	3
CQUJHB007413	247	282	123	226	233	209	237	79	74	186	267	244
