sample,condition
controlL_rep1,CTRL
controlL_rep2,CTRL
controlL_rep3,CTRL
PE60L_rep1,60
PE60L_rep2,60
PE60L_rep3,60
PE200L_rep1,200
PE200L_rep2,200
PE200L_rep3,200
PE600L_rep1,600
PE600L_rep2,600
PE600L_rep3,600

