"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"se.chao1";"SR";"SampleID";"alpha_type";"alpha_diversity"
"44";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";14,3138855755178;103;"ControlPE_rep3";"PD";8,747745077
"45";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";14,3138855755178;103;"ControlPE_rep3";"core_abundance";0,428490693307568
"46";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";15,0735809913325;94;"ControlPE_rep4";"Chao1";112,333333333333
"47";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";15,0735809913325;94;"ControlPE_rep4";"alpha_shannon";3,86124081523646
"48";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";15,0735809913325;94;"ControlPE_rep4";"alpha_simpson";0,962308242996218
"49";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";15,0735809913325;94;"ControlPE_rep4";"PD";16,394892413
"50";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";15,0735809913325;94;"ControlPE_rep4";"core_abundance";0,0875705034468352
"51";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";16,0027508828317;150;"ControlPE_rep5";"Chao1";185,0625
"52";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";16,0027508828317;150;"ControlPE_rep5";"alpha_shannon";0,873018589774681
"53";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";16,0027508828317;150;"ControlPE_rep5";"alpha_simpson";0,383087092315124
"54";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";16,0027508828317;150;"ControlPE_rep5";"PD";28,955129616
"55";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";16,0027508828317;150;"ControlPE_rep5";"core_abundance";0,188185158879659
"56";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";40,5470613034748;73;"ControlPE_rep6";"Chao1";153,142857142857
"57";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";40,5470613034748;73;"ControlPE_rep6";"alpha_shannon";0,0713559000134946
"58";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";40,5470613034748;73;"ControlPE_rep6";"alpha_simpson";0,0150896489772528
"59";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";40,5470613034748;73;"ControlPE_rep6";"PD";11,835281901
"60";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";40,5470613034748;73;"ControlPE_rep6";"core_abundance";0,992425147146635
"61";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";11,7895272467264;86;"ControlPE_rep7";"Chao1";109,625
"62";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";11,7895272467264;86;"ControlPE_rep7";"alpha_shannon";0,115936263511985
"63";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";11,7895272467264;86;"ControlPE_rep7";"alpha_simpson";0,0280710208559427
"64";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";11,7895272467264;86;"ControlPE_rep7";"PD";11,609396566
"65";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";11,7895272467264;86;"ControlPE_rep7";"core_abundance";0,985850502820702
"66";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";12,4647651550428;82;"ControlPE_rep8";"Chao1";105
"67";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";12,4647651550428;82;"ControlPE_rep8";"alpha_shannon";0,0859570812188337
"68";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";12,4647651550428;82;"ControlPE_rep8";"alpha_simpson";0,0179806913532281
"69";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";12,4647651550428;82;"ControlPE_rep8";"PD";23,094202073
"70";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";12,4647651550428;82;"ControlPE_rep8";"core_abundance";0,990967694039915
"71";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";27,4635694332147;146;"ControlPE_rep9";"Chao1";207,75
"72";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";27,4635694332147;146;"ControlPE_rep9";"alpha_shannon";1,3910459341856
"73";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";27,4635694332147;146;"ControlPE_rep9";"alpha_simpson";0,473077702896059
"74";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";27,4635694332147;146;"ControlPE_rep9";"PD";27,034903572
"75";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";27,4635694332147;146;"ControlPE_rep9";"core_abundance";0,719287022126139
"76";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";16,6958163300523;86;"PE200_rep1";"Chao1";114,875
"77";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";16,6958163300523;86;"PE200_rep1";"alpha_shannon";0,425131471022965
"78";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";16,6958163300523;86;"PE200_rep1";"alpha_simpson";0,159667762466039
"79";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";16,6958163300523;86;"PE200_rep1";"PD";12,1452798855
"80";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";16,6958163300523;86;"PE200_rep1";"core_abundance";0,0635883826335878
"81";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,0400827417894;144;"PE200_rep10";"Chao1";173,25
"82";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,0400827417894;144;"PE200_rep10";"alpha_shannon";0,774690096905918
"83";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,0400827417894;144;"PE200_rep10";"alpha_simpson";0,214952184195365
"84";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,0400827417894;144;"PE200_rep10";"PD";39,91586062
"85";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,0400827417894;144;"PE200_rep10";"core_abundance";0,885419028187108
"86";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";22,7401462789152;100;"PE200_rep11";"Chao1";130,333333333333
"87";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";22,7401462789152;100;"PE200_rep11";"alpha_shannon";3,59274406150486
"88";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";22,7401462789152;100;"PE200_rep11";"alpha_simpson";0,926512768735516
"89";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";22,7401462789152;100;"PE200_rep11";"PD";21,215720049
"90";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";22,7401462789152;100;"PE200_rep11";"core_abundance";0,234404748572069
"91";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";11,3309939329153;84;"PE200_rep12";"Chao1";105,428571428571
"92";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";11,3309939329153;84;"PE200_rep12";"alpha_shannon";0,404701505190323
"93";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";11,3309939329153;84;"PE200_rep12";"alpha_simpson";0,105254021651253
"94";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";11,3309939329153;84;"PE200_rep12";"PD";10,2664023475
"95";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";11,3309939329153;84;"PE200_rep12";"core_abundance";0,945858627080889
"96";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";10,4628145588368;141;"PE200_rep13";"Chao1";162
"97";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";10,4628145588368;141;"PE200_rep13";"alpha_shannon";0,338350183408864
"98";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";10,4628145588368;141;"PE200_rep13";"alpha_simpson";0,0825381069423228
"99";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";10,4628145588368;141;"PE200_rep13";"PD";29,829476272
"100";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";10,4628145588368;141;"PE200_rep13";"core_abundance";0,95779397532059
"101";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";12,1430312754332;76;"PE200_rep14";"Chao1";93,5
"102";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";12,1430312754332;76;"PE200_rep14";"alpha_shannon";1,42061534654524
"103";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";12,1430312754332;76;"PE200_rep14";"alpha_simpson";0,410361825852087
"104";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";12,1430312754332;76;"PE200_rep14";"PD";19,525064724
"105";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";12,1430312754332;76;"PE200_rep14";"core_abundance";0,766803210165524
"106";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";25,613002422071;91;"PE200_rep15";"Chao1";129,25
"107";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";25,613002422071;91;"PE200_rep15";"alpha_shannon";0,712364866001548
"108";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";25,613002422071;91;"PE200_rep15";"alpha_simpson";0,18675881246637
"109";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";25,613002422071;91;"PE200_rep15";"PD";14,814207517
"110";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";25,613002422071;91;"PE200_rep15";"core_abundance";0,901682223817827
"111";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";21,9271664532593;83;"PE200_rep16";"Chao1";117,2
"112";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";21,9271664532593;83;"PE200_rep16";"alpha_shannon";2,05766397776426
"113";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";21,9271664532593;83;"PE200_rep16";"alpha_simpson";0,625694339518518
"114";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";21,9271664532593;83;"PE200_rep16";"PD";32,243199112
"115";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";21,9271664532593;83;"PE200_rep16";"core_abundance";0,606143079315708
"116";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";33,4576075717434;117;"PE200_rep2";"Chao1";169,5
"117";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";33,4576075717434;117;"PE200_rep2";"alpha_shannon";1,48799431503043
"118";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";33,4576075717434;117;"PE200_rep2";"alpha_simpson";0,638578658768482
"119";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";33,4576075717434;117;"PE200_rep2";"PD";3,8332599695
"120";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";33,4576075717434;117;"PE200_rep2";"core_abundance";0,0318097907835362
"121";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";8,84798871883029;78;"PE200_rep3";"Chao1";91,3333333333333
"122";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";8,84798871883029;78;"PE200_rep3";"alpha_shannon";1,03392242967291
