"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"Chao1";"se.chao1";"alpha_shannon";"alpha_simpson";"PD";"SR";"core_abundance"
"PE200L_rep2";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";486,015873015873;21,8770280501281;2,0339881858772;0,656365020056727;7,5037263515;401;0,000436585898275486
"PE200L_rep3";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";396,018518518519;18,1361813339387;2,56620383664638;0,801275214478943;6,8195238125;333;0,000868097419821558
"PE60_rep1";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";116,769230769231;10,0160695364919;0,424097935908664;0,108650353935674;27,589346579;99;0,944045576804964
"PE60_rep2";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";122,071428571429;15,106889522891;0,0893872044768848;0,0186093882910724;17,546500561;91;0,99065021172997
"PE60_rep3";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";118;14,3135824576053;0,211671710250049;0,0622240101565241;13,870543029;89;0,968221029852074
"PE600_rep1";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";103,615384615385;8,64571099900191;0,831820734242606;0,253165118534955;13,096654727;89;0,863040734366036
"PE600_rep10";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";110,5;17,932692156054;0,300018845150487;0,0760516523242979;11,872792902;82;0,961179130583166
"PE600_rep2";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";129;13,0134900879637;0,130349205891014;0,0279345991892274;13,94859284;104;0,985931041250138
"PE600_rep3";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";140,05;12,6798320403925;0,319886385763341;0,106689662830214;19,683683986;112;0,944583660727559
"PE600_rep4";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";147,166666666667;11,6342868755728;0,85244181445325;0,44327908925909;8,7690997275;123;0,699409106708377
"PE600_rep5";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";149;21,8490763203171;0,766833106327612;0,341573657849746;16,7835458675;107;0,163420427553444
"PE600_rep6";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";119,647058823529;10,4796426645486;0,207171759164548;0,0534340900970869;7,8352679675;99;0,97287270251872
"PE600_rep7";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";160,9375;19,1232072029339;0,144222689362552;0,030973117670115;25,172070265;117;0,984388612539696
"PE600_rep8";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";71,2;10,2152483511858;0,954716953713285;0,410329925277132;13,071819254;58;0,00161523777558683
"PE600_rep9";"female";"female_midgut";"600";"exposed";"run2";"EXP_femaleMID";113;14,0458562108604;0,0618889252780484;0,0129560689315106;21,58630285;84;0,993499550955823
"PE600F_rep1";"female";"female_whole";"600";"exposed";"run1";"EXP_female";260,1875;43,0386016564979;0,902984714631717;0,393558641840166;11,532137839;142;0,766002035806239
"PE600F_rep2";"female";"female_whole";"600";"exposed";"run1";"EXP_female";151,055555555556;16,8508257573644;0,99054833186908;0,550110315435883;11,696043356;112;0,452163411048099
"PE600F_rep3";"female";"female_whole";"600";"exposed";"run1";"EXP_female";161;26,1663147255173;0,243397173598496;0,0629973987624832;15,060671346;101;0,967942660509565
"PE600L_rep1";"larvae";"larvae_whole";"600";"exposed";"run1";"EXP_larvae";373,40625;26,2763240994772;1,82970589828452;0,583535076588153;7,0722572045;289;0,0029247044181705
"PE600L_rep2";"larvae";"larvae_whole";"600";"exposed";"run1";"EXP_larvae";461,188679245283;25,4189399927181;2,0128841914453;0,682103555286523;7,4283314375;364;0,00376283198772513
"PE600L_rep3";"larvae";"larvae_whole";"600";"exposed";"run1";"EXP_larvae";560,458333333333;39,1681906092425;3,00276432368235;0,870674133683573;7,3609665255;399;0,000609446419502285
"PE60F_rep1";"female";"female_whole";"60";"exposed";"run1";"EXP_female";262,783783783784;17,4868899906519;1,44834917865558;0,652158302038976;5,7893738795;210;0,434705503009458
"PE60F_rep2";"female";"female_whole";"60";"exposed";"run1";"EXP_female";162,588235294118;18,6739663267328;1,26224870439078;0,621872665951643;12,867513804;119;0,539268910604416
"PE60F_rep3";"female";"female_whole";"60";"exposed";"run1";"EXP_female";120,5;21,7851668768137;0,149625063838663;0,0371483268394472;11,221737918;77;0,981230232116006
"PE60L_rep1";"larvae";"larvae_whole";"60";"exposed";"run1";"EXP_larvae";553;28,6526543218338;2,1808517802749;0,722054657446748;7,6681817115;436;0,0140692314644654
"PE60L_rep2";"larvae";"larvae_whole";"60";"exposed";"run1";"EXP_larvae";486,352941176471;19,5787646089262;2,17808908298812;0,737813647694137;7,6455360105;418;5,53786515298352e-05
"PE60L_rep3";"larvae";"larvae_whole";"60";"exposed";"run1";"EXP_larvae";489,634146341463;34,6325410556394;3,06935855585295;0,891261180740959;8,3399030415;359;4,78102887741442e-05
"standard_run2";"standard";"";"";"";"run2";"";65;0;2,58873658102342;0,85829561350616;2,2504266005;65;0
